order_id,note
21223,"Customer reported item arrived damaged, packaging was crushed on delivery."
9887,"Asked about delayed shipping, order still not dispatched after a week."
25876,"Requested refund, said wrong item was received in the box."
42660,Complained the product stopped working within two days of use.
3165,"Customer says package looked tampered with, seal was broken."
4748,Asked to change delivery address after order was already shipped.
35120,Reported missing item -- box arrived but one product was not inside.
6169,"Customer happy with fast delivery, left a positive note for the courier."
23966,"Requested exchange for a different size, item didn't fit."
38194,Complained about a strong chemical smell from the packaging.
3802,Asked for an invoice copy for expense reimbursement.
33256,"Customer said the item looked used, not new as advertised."
14071,Reported the tracking link never updated after dispatch.
2458,Requested cancellation before the order was shipped.
5633,Customer asked if the product is compatible with an older model.
28420,Said the delivery agent was rude during drop-off.
27406,Complained the color received didn't match the product photo.
4579,Customer asked about extended warranty options for this item.
15773,Reported the outer box was fine but the product inside was scratched.
5945,Requested a replacement after item stopped charging.
36114,Customer asked to reschedule delivery to next week.
27822,Said the parcel was left outside instead of handed over.
3874,Reported duplicate charge for the same order.
37058,Customer wants to know the return window for this purchase.
8114,Complained the manual was missing from the box.
14631,Asked whether gift wrapping was available for this order.
41329,Reported the item's battery drained unusually fast.
41120,Customer said assembly instructions were unclear.
38208,"Requested a replacement remote, original one didn't pair."
4055,Complained about a long hold time when calling support.
